start-time,duration,end-time
71.731,2.165,73.896
227.376,2.2280000000000002,229.604
351.142,0.53600000000000003,351.678
468.849,1.627,470.476
470.543,0.73899999999999999,471.282
591.45,3.0569999999999999,594.507
615.845,1.8899999999999999,617.735
655.042,3.5009999999999999,658.543
707.533,0.874,708.407
708.608,3.7210000000000001,712.329
714.283,0.068000000000000005,714.351
714.418,1.0189999999999999,715.437
717.402,0.73799999999999999,718.14
722.462,3.4380000000000002,725.9
725.967,8.5800000000000001,734.547
850.373,2.9670000000000001,853.34
982.958,2.1749999999999998,985.133
1055.266,3.835,1059.101
1092.965,1.879,1094.844
1191.365,2.6960000000000002,1194.061
