start-time,duration,end-time
118.632,2.7629999999999999,121.395
129.399,7.1340000000000003,136.533
207.087,8.9390000000000001,216.026
216.162,0.20100000000000001,216.363
243.999,2.8879999999999999,246.887
319.023,3.024,322.047
587.356,0.067000000000000004,587.423
720.066,4.774,724.84
812.172,5.9850000000000003,818.157
862.709,2.419,865.128
891.349,3.8330000000000002,895.182
903.312,1.6799999999999999,904.992
1031.039,3.7679999999999998,1034.807
1035.075,6.2469999999999999,1041.322
1092.851,10.762,1103.613
1109.257,2.6190000000000002,1111.876
