start-time,duration,end-time
198.267,2.4279999999999999,200.695
276.944,3.7189999999999999,280.663
391.334,1.1459999999999999,392.48
439.876,9.9339999999999993,449.81
457.698,2.1619999999999999,459.86
508.272,9.3239999999999998,517.596
531.235,1.962,533.197
617.501,4.9219999999999997,622.423
645.038,5.9939999999999998,651.032
659.871,3.5129999999999999,663.384
668.922,0.068000000000000005,668.99
669.057,0.27100000000000002,669.328
669.395,0.20100000000000001,669.596
671.744,2.7770000000000001,674.521
801.212,0.33600000000000002,801.548
954.498,6.6779999999999999,961.176
999.879,4.931,1004.81
1027.558,5.9400000000000004,1033.498
1050.9,2.032,1052.932
1124.663,2.032,1126.695
