start-time,duration,end-time
105.229,1.413,106.642
117.23,0.53700000000000003,117.767
126.338,1.887,128.225
289.99,8.5570000000000004,298.547
302.189,4.4089999999999998,306.598
316.844,2.98,319.824
330.166,2.2360000000000002,332.402
360.945,0.34100000000000003,361.286
362.575,3.9220000000000002,366.497
502.577,1.0189999999999999,503.596
513.003,3.1659999999999999,516.169
595.738,2.5630000000000002,598.301
605.658,2.286,607.944
813.401,0.20100000000000001,813.602
821.107,2.1720000000000002,823.279
824.695,1.21,825.905
826.106,1.76,827.866
830.366,1.748,832.114
847.98,3.1200000000000001,851.1
