start-time,duration,end-time
85.813,1.075,86.888
108.248,1.486,109.734
116.322,1.5509999999999999,117.873
189.97,0.80500000000000005,190.775
210.474,3.9809999999999999,214.455
261.888,0.624,262.512
262.713,0.20200000000000001,262.915
333.788,0.27800000000000002,334.066
335.007,1.9470000000000001,336.954
616.717,2.0299999999999998,618.747
738.452,2.3580000000000001,740.81
745.186,1.228,746.414
747.499,3.032,750.531
829.404,2.2160000000000002,831.62
832.239,1.879,834.118
836.486,1.286,837.772
893.098,5.5899999999999999,898.688
