start-time,duration,end-time
126.005,2.6219999999999999,128.627
174.411,5.04,179.451
224.91,2.8879999999999999,227.798
231.368,0.33500000000000002,231.703
371.813,3.6989999999999998,375.512
391.035,5.109,396.144
399.235,5.6580000000000004,404.893
513.304,2.8900000000000001,516.194
581.612,1.1419999999999999,582.754
600.712,13.848000000000001,614.56
657.01,3.1619999999999999,660.172
693.533,0.874,694.407
698.107,1.8839999999999999,699.991
726.28,2.8220000000000001,729.102
850.888,0.27000000000000002,851.158
932.78,0.67200000000000004,933.452
1159.533,2.6190000000000002,1162.152
1184.28,0.80600000000000005,1185.086
