Goal x, Goal y, Goal z, 
-1.51804, 16.876, 1.77753
-1.36384, 16.905, 1.80884
-1.34457, 16.9087, 1.81275
-1.3253, 16.9123, 1.81666
-1.28221, 16.7596, 1.83729
-1.23912, 16.6069, 1.85792
-1.19603, 16.4542, 1.87855
-1.15294, 16.3015, 1.89917
-1.10985, 16.1488, 1.9198
-1.06677, 15.9961, 1.94043
-1.06138, 15.977, 1.94301
-1.05599, 15.9579, 1.94559
-0.995756, 15.8118, 1.92073
-0.935518, 15.6657, 1.89588
-0.875281, 15.5195, 1.87102
-0.815043, 15.3734, 1.84617
-0.754805, 15.2273, 1.82132
-0.694568, 15.0811, 1.79646
-0.687038, 15.0629, 1.79335
-0.679508, 15.0446, 1.79025
-0.612824, 14.9036, 1.8257
-0.546139, 14.7625, 1.86115
-0.479454, 14.6215, 1.8966
-0.41277, 14.4804, 1.93205
-0.346085, 14.3393, 1.9675
-0.279401, 14.1983, 2.00295
-0.271065, 14.1807, 2.00739
-0.262729, 14.163, 2.01182
-0.298173, 14.0077, 1.99744
-0.333616, 13.8523, 1.98307
-0.36906, 13.6969, 1.9687
-0.404503, 13.5416, 1.95432
-0.439946, 13.3862, 1.93995
-0.47539, 13.2309, 1.92558
-0.47982, 13.2114, 1.92378
-0.484251, 13.192, 1.92198
-0.397472, 13.0578, 1.92988
-0.310693, 12.9236, 1.93778
-0.223914, 12.7894, 1.94567
-0.137135, 12.6553, 1.95357
-0.0503557, 12.5211, 1.96147
0.0364233, 12.3869, 1.96936
0.0472706, 12.3701, 1.97035
0.058118, 12.3533, 1.97134
0.0609213, 12.1943, 1.95375
0.0637246, 12.0353, 1.93616
0.066528, 11.8763, 1.91857
0.0693313, 11.7173, 1.90099
0.0721346, 11.5583, 1.8834
0.0749379, 11.3993, 1.86581
0.0752883, 11.3794, 1.86361
0.0756387, 11.3595, 1.86142
-0.016093, 11.2588, 1.94526
-0.107825, 11.158, 2.02911
-0.199556, 11.0572, 2.11295
-0.291288, 10.9564, 2.1968
-0.38302, 10.8557, 2.28065
-0.474752, 10.7549, 2.36449
-0.486218, 10.7423, 2.37497
-0.497685, 10.7297, 2.38545
-0.44567, 10.5994, 2.46241
-0.393656, 10.4692, 2.53937
-0.341641, 10.3389, 2.61633
-0.289627, 10.2086, 2.69329
-0.237612, 10.0783, 2.77025
-0.185598, 9.94806, 2.84721
-0.179096, 9.93177, 2.85683
-0.172594, 9.91549, 2.86645
-0.103272, 9.77232, 2.88368
