start-time,duration,end-time
136.786,2.2280000000000002,139.014
144.208,0.20100000000000001,144.409
247.263,1.222,248.485
250.521,6.2240000000000002,256.745
262.088,3.9710000000000001,266.059
268.086,1.3420000000000001,269.428
272.657,5.1189999999999998,277.776
277.91,1.679,279.589
281.542,7.2839999999999998,288.826
294.759,1.7609999999999999,296.52
307.248,1.6819999999999999,308.93
315.753,5.9390000000000001,321.692
327.622,1.6930000000000001,329.315
331.617,1.6120000000000001,333.229
341.196,1.359,342.555
351.195,1.355,352.55
362.46,1.6910000000000001,364.151
366.117,9.1099999999999994,375.227
377.255,1.615,378.87
381.117,0.40200000000000002,381.519
385.289,1.1599999999999999,386.449
390.893,3.7850000000000001,394.678
402.981,4.3099999999999996,407.291
414.047,1.544,415.591
418.775,0.47799999999999998,419.253
421.213,1.6100000000000001,422.823
426.684,1.887,428.571
433.554,2.6960000000000002,436.25
935.433,2.6920000000000002,938.125
